History Index - RR,R-R Interval(ms) - RR
1577,808.594
1578,809.245
1579,790.365
1580,826.172
1581,770.182
1582,729.818
1583,794.271
1584,839.844
1585,791.667
1586,749.349
1587,805.339
1588,852.214
1589,794.271
1590,746.094
1591,796.875
1592,841.146
1593,783.203
1594,738.281
1595,778.646
1596,820.964
1597,765.625
1598,721.354
1599,767.578
1600,809.245
1601,766.276
1602,728.516
1603,774.74
1604,818.359
1605,775.391
1606,769.531
1607,769.531
1608,808.594
1609,777.995
1610,780.599
1611,743.49
1612,805.339
1613,822.917
1614,827.474
1615,776.693
1616,832.031
1617,874.349
1618,813.802
1619,759.115
1620,799.479
1621,843.75
1622,783.854
1623,738.932
1624,804.036
1625,850.911
1626,804.687
1627,761.719
1628,809.896
1629,850.911
1630,782.552
1631,733.724
1632,787.109
1633,826.823
1634,771.484
1635,763.021
1636,759.766
1637,796.224
1638,738.932
1639,707.031
1640,796.875
1641,827.474
1642,847.005
1643,869.141
1644,890.625
1645,936.849
1646,813.151
1647,870.443
1648,877.604
1649,871.094
1650,860.026
1651,805.99
1652,914.062
1653,845.703
1654,786.458
1655,837.891
1656,835.937
1657,880.208
1658,815.104
1659,764.323
1660,865.234
1661,815.755
1662,818.359
1663,820.312
1664,777.995
1665,887.37
1666,804.036
1667,839.193
1668,835.937
1669,832.682
1670,876.302
1671,766.276
1672,848.307
1673,807.292
1674,810.547
1675,809.896
1676,767.578
1677,867.839
1678,820.312
1679,815.755
1680,766.276
1681,818.359
1682,861.979
1683,802.083
1684,752.604
1685,798.828
1686,846.354
1687,795.573
1688,791.667
1689,751.302
1690,851.562
1691,808.594
1692,803.385
1693,758.464
1694,814.453
1695,861.328
1696,800.13
1697,756.51
1698,806.641
1699,854.818
1700,797.526
1701,789.714
1702,750
1703,849.609
1704,806.641
1705,800.13
1706,800.781
1707,762.37
1708,868.49
1709,811.849
1710,805.99
1711,810.547
1712,770.833
1713,878.906
1714,816.406
1715,815.755
1716,828.776
1717,784.505
1718,895.182
1719,841.146
1720,849.609
1721,805.339
1722,858.724
1723,865.885
1724,859.375
1725,846.354
1726,832.682
1727,832.031
1728,816.406
1729,825.521
1730,687.5
1731,652.344
1732,649.74
1733,690.104
1734,639.323
1735,625
1736,785.807
1737,844.401
1738,857.422
1739,870.443
1740,882.812
1741,881.51
1742,842.448
1743,783.854
1744,811.849
1745,762.37
1746,773.437
1747,805.339
1748,752.604
1749,749.349
1750,753.255
1751,794.922
1752,779.948
1753,791.016
1754,754.557
1755,855.469
1756,829.427
1757,825.521
1758,772.786
1759,813.802
1760,860.026
1761,792.969
1762,739.583
1763,785.156
1764,835.286
1765,790.365
1766,782.552
1767,747.396
1768,838.542
1769,795.573
1770,785.807
1771,786.458
1772,749.349
1773,843.099
1774,789.714
1775,783.854
1776,791.667
1777,751.953
1778,839.844
1779,783.203
1780,785.156
1781,791.667
1782,747.396
1783,833.333
1784,787.76
1785,789.714
1786,787.109
1787,744.141
1788,828.125
1789,785.156
1790,779.948
1791,772.786
1792,737.63
1793,820.964
1794,779.297
1795,770.833
1796,770.833
1797,738.281
1798,835.937
1799,798.828
1800,794.271
1801,802.083
1802,812.5
1803,813.802
1804,807.943
1805,804.687
1806,809.245
1807,805.99
1808,758.464
1809,843.75
1810,792.318
1811,787.76
1812,783.203
1813,744.141
1814,848.307
1815,802.083
1816,791.016
1817,785.156
1818,783.203
1819,782.552
1820,755.208
1821,751.302
1822,759.115
1823,769.531
1824,732.422
1825,824.87
1826,794.271
1827,797.526
1828,755.208
1829,796.224
1830,839.193
1831,787.109
1832,738.281
1833,781.901
1834,794.271
1835,792.318
1836,787.109
1837,786.458
1838,830.729
1839,750
1840,817.708
1841,775.391
1842,779.297
1843,776.042
1844,734.375
1845,809.245
1846,772.786
1847,772.135
1848,764.974
1849,729.818
1850,811.849
1851,773.437
1852,765.625
1853,763.672
1854,729.167
1855,813.802
1856,767.578
1857,765.625
1858,774.74
1859,736.979
1860,820.964
1861,772.786
1862,776.693
1863,780.599
1864,736.979
1865,824.219
1866,785.156
1867,789.714
1868,787.76
1869,745.443
1870,829.427
1871,786.458
1872,777.995
1873,735.677
1874,772.786
1875,813.151
1876,768.88
1877,724.609
1878,766.276
1879,807.943
1880,770.182
1881,765.625
1882,729.818
1883,810.547
1884,773.437
1885,766.927
1886,729.167
1887,779.297
1888,786.458
1889,787.76
1890,785.807
1891,787.109
1892,827.474
1893,744.792
1894,822.917
1895,783.854
1896,787.109
1897,790.365
1898,750
1899,846.354
1900,805.339
1901,802.083
1902,760.417
1903,813.151
1904,859.375
1905,798.828
1906,749.349
1907,792.318
1908,834.635
1909,777.995
1910,730.469
1911,773.437
1912,819.01
1913,779.948
1914,736.979
1915,783.854
1916,829.427
1917,787.109
1918,777.995
1919,735.677
1920,813.802
1921,769.531
1922,759.115
1923,751.302
1924,717.448
1925,800.781
1926,759.115
1927,755.208
1928,760.417
1929,730.469
1930,820.312
1931,774.089
1932,777.995
1933,787.109
1934,748.047
1935,836.589
1936,785.807
1937,789.062
1938,789.714
1939,745.443
1940,833.984
1941,789.714
1942,794.271
1943,750.651
1944,798.177
1945,841.797
1946,792.969
1947,745.443
1948,779.297
1949,820.312
1950,770.182
1951,760.417
1952,722.656
1953,803.385
1954,766.276
1955,763.021
1956,762.37
1957,729.167
1958,822.917
1959,784.505
1960,780.599
1961,788.411
1962,753.255
1963,850.911
1964,796.875
1965,800.13
1966,809.896
1967,764.974
1968,863.932
1969,811.198
1970,813.802
1971,809.896
1972,761.719
1973,845.703
1974,785.807
1975,777.995
1976,769.531
1977,730.469
1978,816.406
1979,779.297
1980,777.344
1981,737.63
1982,785.807
1983,827.474
1984,777.995
1985,730.469
1986,769.531
1987,813.151
1988,766.276
1989,757.812
1990,760.417
1991,762.37
1992,776.042
1993,774.089
1994,775.391
1995,780.599
1996,781.25
1997,781.25
1998,768.229
1999,770.833
2000,774.089
2001,772.135
2002,733.724
2003,815.755
2004,783.203
2005,778.646
2006,736.979
2007,776.693
2008,818.359
2009,772.135
2010,728.516
2011,766.276
2012,809.245
2013,771.484
2014,764.323
2015,732.422
2016,808.594
2017,779.297
2018,774.089
2019,770.833
2020,740.885
2021,817.057
2022,777.344
2023,764.974
2024,762.37
2025,730.469
2026,807.943
2027,764.974
2028,759.766
2029,763.021
2030,731.12
