History Index - RR,R-R Interval(ms) - RR,
2240,820.312,73.14290173
2241,897.786,66.8310711
2242,930.339,64.49262043
2243,942.057,63.69041364
2244,910.807,65.87564654
2245,878.255,68.31728826
2246,865.885,69.29326643
2247,856.771,70.03038151
2248,853.516,70.29745195
2249,852.214,70.40485136
2250,867.187,69.18922908
2251,901.693,66.54149472
2252,909.505,65.96995069
2253,917.318,65.40807005
2254,922.526,65.03881733
2255,917.969,65.36168433
2256,906.25,66.20689655
2257,883.464,67.91448208
2258,869.141,69.03367808
2259,856.12,70.08363314
2260,852.865,70.35111067
2261,850.911,70.51266231
2262,857.422,69.97721076
2263,875,68.57142857
2264,886.719,67.66517916
2265,896.484,66.92813257
2266,895.833,66.97676911
2267,891.927,67.27007928
2268,880.208,68.16570629
2269,860.677,69.71256348
2270,849.609,70.62072083
2271,838.542,71.55276659
2272,830.729,72.22571982
2273,832.682,72.05631922
2274,838.542,71.55276659
2275,845.052,71.00154783
2276,853.516,70.29745195
2277,854.818,70.19037971
2278,858.073,69.92412068
2279,863.281,69.50228257
2280,855.469,70.1369658
2281,852.214,70.40485136
2282,850.26,70.5666502
2283,843.75,71.11111111
2284,833.333,72.0000288
2285,828.125,72.45283019
2286,818.359,73.31745603
2287,800.781,74.92685266
2288,799.479,75.04887558
2289,797.526,75.23265699
2290,797.526,75.23265699
2291,791.016,75.85181589
2292,790.365,75.91429276
2293,785.156,76.41793478
2294,763.672,78.56776208
2295,750,80
2296,743.49,80.70048017
2297,736.328,81.48542497
2298,745.443,80.48905148
2299,766.276,78.30076891
2300,787.109,76.22832416
2301,813.151,73.7870334
2302,829.427,72.33909675
2303,841.146,71.33125522
2304,845.052,71.00154783
2305,847.005,70.83783449
2306,843.099,71.16601965
2307,823.568,72.85372914
2308,808.594,74.20287561
2309,814.453,73.66907605
2310,820.312,73.14290173
2311,809.245,74.14318284
2312,807.292,74.32254996
2313,822.266,72.96908786
2314,836.589,71.71980507
2315,826.823,72.56692182
2316,815.104,73.61023869
2317,819.661,73.20099407
2318,820.964,73.08481249
2319,812.5,73.84615385
2320,809.245,74.14318284
2321,823.568,72.85372914
2322,833.984,71.94382626
2323,837.24,71.66403899
2324,851.562,70.45875697
2325,873.698,68.67361491
2326,878.255,68.31728826
2327,884.115,67.86447464
2328,886.719,67.66517916
2329,878.906,68.26668608
2330,868.49,69.08542413
2331,855.469,70.1369658
2332,848.958,70.67487438
2333,819.661,73.20099407
2334,790.365,75.91429276
2335,785.156,76.41793478
2336,789.714,75.97687264
2337,790.365,75.91429276
2338,787.109,76.22832416
2339,798.177,75.17129659
2340,813.151,73.7870334
2341,813.802,73.72800755
2342,803.385,74.68399335
2343,798.828,75.1100362
2344,801.432,74.86598988
2345,805.339,74.50278703
2346,803.385,74.68399335
2347,809.245,74.14318284
2348,818.359,73.31745603
2349,832.682,72.05631922
2350,835.937,71.77574387
2351,843.099,71.16601965
2352,856.771,70.03038151
2353,869.141,69.03367808
2354,875,68.57142857
2355,869.792,68.98200949
2356,871.094,68.878904
2357,858.073,69.92412068
2358,848.307,70.72911104
2359,845.703,70.9468927
2360,856.771,70.03038151
2361,856.12,70.08363314
2362,865.234,69.34540252
2363,889.323,67.46705078
2364,897.786,66.8310711
