History Index - RR,R-R Interval(ms) - RR
1084,887.37
1085,845.703
1086,828.776
1087,850.911
1088,893.229
1089,927.083
1090,954.427
1091,1012.37
1092,1067.06
1093,1062.5
1094,927.734
1095,856.12
1096,839.844
1097,791.667
1098,736.979
1099,701.823
1100,775.391
1101,865.885
1102,906.25
1103,933.594
1104,983.724
1105,1039.71
1106,1079.43
1107,1057.94
1108,1047.53
1109,1047.53
1110,1046.22
1111,1047.53
1112,1053.39
1113,1036.46
1114,1034.51
1115,1048.18
1116,1024.09
1117,1009.11
1118,1013.67
1119,1018.23
1120,1005.21
1121,998.698
1122,1009.77
1123,994.792
1124,983.724
1125,987.63
1126,981.771
1127,972.005
1128,971.354
1129,970.703
1130,964.844
1131,967.448
1132,968.75
1133,970.703
1134,978.516
1135,977.865
1136,971.354
1137,965.495
1138,953.776
1139,926.432
1140,880.208
1141,844.401
1142,861.328
1143,833.333
1144,819.661
1145,830.078
1146,884.766
1147,936.198
1148,929.687
1149,974.609
1150,1037.11
1151,1061.2
1152,1057.29
1153,1066.41
1154,1069.01
1155,1067.71
1156,1059.24
1157,1050.13
1158,1036.46
1159,1035.81
1160,1035.81
1161,1010.42
1162,986.328
1163,1011.07
1164,1021.48
1165,1000
1166,1000.65
1167,1028.65
1168,1027.34
1169,1005.21
1170,1013.02
1171,1033.2
1172,1020.83
1173,1019.53
1174,1038.41
1175,1036.46
1176,1034.51
1177,1036.46
1178,1049.48
1179,990.885
1180,1008.46
1181,1015.62
1182,984.375
1183,967.448
1184,989.583
1185,1037.76
1186,1004.56
1187,1024.09
1188,1057.29
1189,1061.2
1190,1048.18
1191,1056.64
1192,1055.99
1193,1034.51
1194,1023.44
1195,1014.97
1196,1013.67
1197,1023.44
1198,1036.46
1199,1028.65
1200,1017.58
1201,1031.25
1202,1029.95
1203,1009.11
1204,997.396
1205,1020.18
1206,1039.06
1207,1041.67
1208,1026.69
1209,1023.44
1210,1037.76
1211,1021.48
1212,996.745
1213,998.047
1214,1025.39
1215,1037.76
1216,1014.32
1217,994.141
1218,986.328
1219,981.771
1220,958.333
1221,928.385
1222,967.448
1223,1021.48
1224,1058.59
1225,1055.99
1226,1072.27
1227,1120.44
1228,1110.03
1229,1075.52
1230,1052.08
1231,1060.55
1232,1068.36
1233,1035.81
1234,1000.65
1235,977.865
1236,944.661
1237,901.042
1238,912.76
1239,906.901
1240,923.828
1241,958.333
1242,1002.6
1243,1033.2
1244,1021.48
1245,1041.67
1246,1035.16
1247,1044.27
1248,1045.57
1249,1046.22
1250,1033.85
1251,1032.55
1252,1033.2
1253,1025.39
1254,1036.46
1255,1027.99
1256,1034.51
1257,1040.36
1258,1039.06
1259,1043.62
1260,1042.97
1261,1052.08
1262,1048.83
1263,1040.36
1264,1043.62
1265,1037.76
1266,1042.32
1267,1043.62
1268,1035.81
1269,1048.18
1270,1060.55
1271,1054.04
1272,1051.43
1273,1057.94
1274,1042.97
1275,1014.97
1276,1016.93
1277,1021.48
1278,990.885
1279,983.724
1280,1010.42
1281,1006.51
1282,993.49
1283,997.396
1284,1015.62
1285,996.745
1286,974.609
1287,1007.16
1288,1025.39
1289,1013.02
1290,1017.58
1291,1050.13
1292,1055.34
1293,1041.02
1294,1051.43
1295,1056.64
1296,1038.41
1297,1048.18
1298,1065.76
1299,1054.69
1300,1035.81
1301,1050.78
1302,1052.08
1303,1037.76
1304,1038.41
1305,1041.67
1306,1039.06
1307,1037.11
1308,1031.25
1309,1012.37
1310,1007.81
1311,1012.37
1312,996.094
1313,981.12
1314,998.047
1315,1000
1316,991.536
1317,1007.16
1318,1010.42
1319,1009.11
1320,1002.6
1321,994.792
1322,994.141
1323,988.281
1324,988.281
1325,1003.91
1326,1019.53
1327,1029.95
1328,1028.65
1329,1013.67
1330,1000
1331,949.219
1332,822.266
1333,691.406
1334,559.896
1335,520.833
1336,501.953
1337,489.583
1338,549.479
1339,637.37
1340,718.75
1341,709.635
1342,709.635
1343,746.745
1344,785.156
1345,805.339
1346,828.125
1347,885.417
1348,938.151
1349,931.641
1350,933.594
1351,977.865
1352,1024.09
1353,1019.53
1354,1021.48
1355,1060.55
1356,1068.36
1357,1067.06
1358,1070.96
1359,1063.8
1360,1050.13
1361,1049.48
1362,1067.71
1363,1045.57
1364,1022.79
1365,1045.57
1366,1048.18
1367,1014.32
1368,1013.02
1369,1045.57
1370,1057.94
1371,1026.69
1372,1044.27
1373,1075.52
1374,1057.94
1375,1032.55
1376,1048.83
1377,1087.24
1378,1073.57
1379,1067.06
1380,1096.35
1381,1110.68
1382,1073.57
1383,1061.85
1384,1080.08
1385,1069.01
1386,1033.2
1387,1038.41
1388,1075.52
1389,1080.08
1390,1058.59
1391,1076.82
1392,1123.7
1393,1120.44
1394,1094.4
1395,1104.17
1396,1126.95
1397,1105.47
1398,1086.59
1399,1089.19
1400,1080.08
1401,1055.99
1402,1049.48
1403,1053.39
1404,1018.88
1405,993.49
1406,1014.32
1407,1011.72
1408,985.026
1409,979.818
1410,994.141
1411,986.979
1412,950.521
1413,896.484
1414,810.547
1415,768.88
1416,746.745
1417,746.094
1418,679.036
1419,652.344
1420,731.12
1421,762.37
1422,791.667
1423,800.13
1424,871.745
1425,957.682
1426,988.281
1427,992.839
1428,996.745
1429,1019.53
1430,1029.95
1431,1023.44
1432,1027.34
1433,1031.25
1434,1020.18
1435,1018.23
1436,1023.44
1437,1014.97
1438,1009.11
1439,1022.79
1440,1013.02
1441,998.047
1442,1014.97
1443,1020.18
1444,1001.3
1445,1006.51
1446,1029.95
1447,1024.09
